label,t,r,points,kTeams,scoringDiscAbs,minScoringDiscAbs,discSource,isSolvable,baselineUnlocked,baselineDiscAbs
24T148,148,16,0.0,39,12454886050011511915988992657129592024203264,24608602410620556250000000000000000,exact_nfdisc,True,,
24T148,148,24,0.0,32,9449831185509261822854692864000000000000,59085254387899955556250000000000000000,exact_nfdisc,True,True,4508039702470371818970369796764193521664000000000000
24T150,150,0,0.0,53,14134224867929686242928623616,517826445127856089313837056,exact_nfdisc,True,True,295881550974119985391685213210395912465022976
24T150,150,8,0.0,36,28273563576220552539381170176000000000000,72380322755124614500815795650560000,exact_nfdisc,True,,
24T150,150,16,0.0,44,474351683207984673592546398375510016,21759627488039026638449221614698496,exact_nfdisc,True,,
24T150,150,24,0.0,34,296469802004990420995341498984693760000,296469802004990420995341498984693760000,exact_nfdisc,True,True,277188366757463669630706310170279936000000000000
24T151,151,0,0.0,64,247138963608360062713593856,247138963608360062713593856,exact_nfdisc,True,True,3652858654001481301131916212474023610679296
24T151,151,8,0.0,61,749717262309007716992747531403264,3618361566189999678189727645696,exact_nfdisc,True,True,295881550974119985391685213210395912465022976
24T151,151,24,0.0,45,18100838348586332166550683376941526941696,61792192030566948731355136000000000000,exact_nfdisc,True,True,54753257631103934741867913120055296000000000000
24T152,152,0,0.0,54,2551778366658540081197128546779136,6557827967253220516257857536,exact_nfdisc,True,True,295881550974119985391685213210395912465022976
24T152,152,24,0.0,29,278092403982303308504624110950060052709376,278092403982303308504624110950060052709376,exact_nfdisc,True,True,17324272922341479351919144385642496000000000000
24T153,153,0,0.0,24,2678658682623660056187071999014915161641189376,21148377722461538203306295296,exact_nfdisc,True,,
24T153,153,24,0.0,30,43664716428860670617721354657363656704,43664716428860670617721354657363656704,exact_nfdisc,True,True,2018424089313015450324218749257718431744000000000000
24T154,154,0,0.0,26,669664670655915014046767999753728790410297344,1670157430683097690814808064,exact_nfdisc,True,True,2662933958767079868525166918893563212185206784
24T154,154,24,2e-06,20,272511495232519445325198974416606581489664,272511495232519445325198974416606581489664,exact_nfdisc,True,True,1135363550238571190807373046457466617856000000000000
24T155,155,24,0.0,26,4257992113008116333206233975259477835776,4257992113008116333206233975259477835776,exact_nfdisc,True,True,4541454200954284763229492185829866471424000000000000
24T156,156,0,0.0,34,10463510478998672094480749996152012350160896,417539357670774422703702016,exact_nfdisc,True,True,2662933958767079868525166918893563212185206784
24T156,156,24,0.0,26,17031968452032465332824935901037911343104,4367244275359384802443312574956446941184,exact_nfdisc,True,True,70960221889910699425460815403591663616000000000000
